月描述,乘用销售区域,乘用销售分部,客户编码,客户名称,产品大类,花纹,轮辋（乘用）,车型,规格,品牌（中文）,销售订单数量
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,Giti4×4 Winter70,18,SUV,285/60R18,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228,16,轿车,205/55R16,佳通,2
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228v1,16,轿车,215/60R16,佳通,28
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228v1,16,轿车,225/55ZR16,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,215/50R17,佳通,20
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,225/55R17,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort F50,17,SUV,225/65R17,佳通,10
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort F50,18,SUV,235/60R18,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort F50,19,SUV,235/50R19,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort T20,13,轿车,175/60R13,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort Winter50SUV,17,SUV,225/65R17,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiControl 288,17,轿车,225/55R17,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiControl Winter10,19,轿车,245/45R19,佳通,2
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiSynergy E1,15,轿车,195/65R15,佳通,8
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiSynergy E1,16,轿车,205/55R16,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiTaxi 900,13,轿车,165/70R13,佳通,21
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiTaxi 900,14,轿车,175/70R14,佳通,5
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiWinter SUV830,15,SUV,225/75R15,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiWinterControl SUV890+,18,SUV,255/55R18,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiWinterVan 650,13,小商用,165R13C LT,佳通,6
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,Giti4×4 HT152,18,4×4,235/50R18,佳通,4
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,Giti4×4 HT152,19,4×4,245/55R19,佳通,4
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort 225,17,轿车,225/65R17,佳通,19
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort 228,16,轿车,205/55R16,佳通,66
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort 228v1,16,轿车,215/60R16,佳通,16
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,205/50R17,佳通,8
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,215/50R17,佳通,16
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort F50,17,SUV,215/60R17,佳通,4
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort F50,17,SUV,225/65R17,佳通,5
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort F50,18,SUV,225/55R18,佳通,6
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort F50,18,SUV,235/55R18,佳通,18
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort T20,13,轿车,165/65R13,佳通,4
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort T20,13,轿车,175/70R13,佳通,8
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort T20,14,轿车,185/65R14,佳通,21
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort T20,14,轿车,185/70R14,佳通,22
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort T20,15,轿车,175/65R15,佳通,40
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort T20,15,轿车,185/60R15,佳通,50
